Product Code,Line Item,Category,Sub Category,Conversion Factor,Supplier,Cost Type,Purchase Type,Made in,Product Group,Model,Brand,Product Name,Size,Color,Cost Price,Wholesale Price,Retail Price,Profit(%),Difference,Barcode Customer SKU Code 1
ALAR001,Perfumes / Fragrances,SPRAY AIR FRESHENER,,0,Ahsan Traders,Fixed,,UAE,,,AL ARABIA,Al Arabia SULTANAT - Dry Air Freshener 300ml - 1PCS,Default,Default,290,363,363,20.11,73,3571700296422
ALAR002,Perfumes / Fragrances,SPRAY AIR FRESHENER,,0,Ahsan Traders,Fixed,,,,,,Al Arabia Dry Air Freshener 300ml - 5 pcs pack,Default,Default,1450,1813,1813,20.02,363,
Areo001,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Areon Gel - Black Crystal & passion Pack of 2,Default,Default,1500,1875,1875,20,375,3800034953979
Areo002,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Areon Gel - DREAM - Gel Perfume,Default,Default,750,938,938,20.04,188,
Areo003,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Areon Gel Air Freshner For Car - WISH,Default,Default,750,938,938,20.04,188,
Areo004,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Areon Quality perfume Gel Passion Made in Bulgaria,Default,Default,750,938,938,20.04,188,
Areo005,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Areon Gel - black crystal - Gel Perfume,Default,Default,750,938,938,20.04,188,
BULL001,Perfumes / Fragrances,Liquid Air Freshener,DashBoard Air Freshener,0,Ahsan Traders,Fixed,,,,,,BULLSONE GRASSE L'ESTEREL - AQUA WAVE CAR PERFUME,Default,Default,0,0,0,0,0,
BULL002,Perfumes / Fragrances,Liquid Air Freshener,DashBoard Air Freshener,0,Ahsan Traders,Fixed,,,,,,BULLSONE GRASSE -Apple Mango -100ml,Default,Default,0,0,0,0,0,
BULL003,Perfumes / Fragrances,Liquid Air Freshener,DashBoard Air Freshener,0,Ahsan Traders,Fixed,,,,,,BULLSONE Car Air Freshener - BULGARIAN ROSE- 110mL,Default,Default,0,0,0,0,0,
JGEL001,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello-Gel Air Freshener in Peach 200g,Default,Default,320,400,400,20,80,6943182869628
JGEL002,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello Gel Air Freshener Black Ice 200gm,Default,Default,320,400,400,20,80,
JGEL003,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello - Gel Air Freshener - Coconut - 200g,Default,Default,320,400,400,20,80,6943182868263
JGEL004,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello - Gel Air Freshener - STRAWBERRY - 200g,Default,Default,320,400,400,20,80,
JGEL005,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello - Gel Air Freshener - LAVENDER 220g,Default,Default,320,400,400,20,80,
JGEL006,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello - Gel Air Freshener - Bubble Gum Natural Fresh 220gm,Default,Default,320,400,400,20,80,
JGEL007,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello Air Freshener Jasmine Flavor 220gm,Default,Default,320,400,400,20,80,
JGEL008,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello Air Freshener Natural Fresh 200gm,Default,Default,320,400,400,20,80,
JGEL009,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,JELLO Air Freshener Pine Apple 1 pcs 220gm,Default,Default,320,400,400,20,80,
JGEL010,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello Gel Air Freshener Apple Natural Fresh 220gm,Default,Default,320,400,400,20,80,
JGEL011,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello Gel Air Freshener - Orange flavor 220gm,Default,Default,320,400,400,20,80,
JGEL012,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello Gel Air Freshener Lemon 220gm,Default,Default,320,400,400,20,80,
JGEL013,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Jello Gel Air Freshener Vanilla Flavor - 220gm,Default,Default,320,400,400,20,80,
JGEL014,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,"Jello Gel Perfume New car sent, Air Freshener 220gm",Default,Default,320,400,400,20,80,
SamX001,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Sameili X Air Freshener Gel Perfume Pink Rose Scent 220g Rose flavor,Default,Default,400,500,500,20,100,
SamX002,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Sameili X Air Freshener Gel Perfume Red Scent 220gm Strawberry flavor,Default,Default,400,500,500,20,100,
SamX003,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Sameili X - LAVENDER Flavor S08- Gel Air Freshener 220g,Default,Default,400,500,500,20,100,6974673270043
SamX004,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Sameili X Air Freshener Gel Perfume Yellow Scent 220g Vanilla flavor,Default,Default,400,500,500,20,100,
SamX005,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,SAMEILI X Gel Air Freshener Blue 220gm,Default,Default,425,500,531,15,75,
SamX006,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,SAMEILI X Gel Air Freshener Encounter 220gm,Default,Default,400,500,500,20,100,
VOUG001,Perfumes / Fragrances,Gel Air Freshener,,0,Ahsan Traders,Fixed,,,,,,Vouge Gel Perfume Car Air Freshener -1PCS,Default,Default,880,1100,1100,20,220,
3GUYS01,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,UK,,,Three Guys,Three Guys WASH & WAX GREEN Shampoo 250ml,Default,Default,280,350,350,20,70,
3GUYS02,Car Care,DashBoard Spray Polish,,0,Ahsan Traders,Fixed,,UK,,,Three Guys,Three Guys Dashboard Polish & Tyre Wax 450ml - 1 Pcs Multi Fragrance,Default,Default,230,288,288,20.14,58,
3GUYS03,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,UK,,,Three Guys,Three Guys Wash & Gloss Shampoo Green Engineered 450ml,Default,Default,400,500,500,20,100,
3GUYS04,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,UK,,,Three Guys,Three Guys Car Wash & Shine Shampoo - 250ml Raspberry Scent,Default,Default,280,350,350,20,70,
3GUYS05,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,UK,,,Three Guys,Three Guys Citrus Wash & Gloss Shampoo 450ml - High Foaming Car Wash,Default,Default,400,500,500,20,100,
3GUYS06,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,UK,,,Three Guys,Three Guys Rasberry Scent Wash & Gloss Shampoo 450ml,Default,Default,400,500,500,20,100,
3GUYS07,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,UK,,,Three Guys,Three Guys Wash & Shine Car Shampoo Citrus Scent 250ml,Default,Default,280,350,350,20,70,
7CF0001,Car Care,Car Wax / Polishes,Hard Wax,0,Ahsan Traders,Fixed,,,,,7CF,7CF Hard Wax 200 gm,Default,Default,630,788,788,20.05,158,
AIM0001,Car Care,Car Wax / Polishes,Hard Wax,0,Ahsan Traders,Fixed,,,,,AIM,Aim Hard Wax 200gm,Default,Default,600,950,750,36.84,350,
BIGM001,Car Care,Multipurpose Cleaner,,0,Ahsan Traders,Fixed,,,,,BIG-M,BIG M - FOAM CLEANER Multi Purpose B002- 650 ML,Default,Default,310,460,388,32.61,150,6959375195177
BULL004,Car Care,Car Wax / Polishes,BLACK COLOR WAX,0,Ahsan Traders,Fixed,,,,,BULLSONE,Bullsone Nano Tech Car wax For Black Color Car,Default,Default,3500,4375,4375,20,875,
BULL005,Car Care,Rubbing Compound,,0,Ahsan Traders,Fixed,,,,,BULLSONE,BULLSONE 2-Step Compound Kit With Microfiber Towel Scratch Remover -COMPOUND,Default,Default,0,0,0,0,0,
CARX001,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,,,,CARE-X,CARE X7 Car Wash Shampoo & Conditioner 1 Liter,Default,Default,579.9967,688,725,15.7,108.0033,
